,Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
0,Florida Panthers,20212022,7,7,0,--,0,14,1.0,6,7,0,31,13,4.43,1.86,19.2,86.2,15.4,89.7,33.9,31.4,47.1,East,0
1,Washington Capitals,20212022,7,4,0,--,3,11,0.7859999999999999,4,4,0,28,19,4.0,2.71,20.0,73.7,12.0,84.2,30.1,27.1,46.8,East,0
2,Carolina Hurricanes,20212022,5,5,0,--,0,10,1.0,5,5,0,22,8,4.4,1.6,31.6,90.0,31.6,90.0,35.0,29.8,53.2,East,0
3,St. Louis Blues,20212022,5,5,0,--,0,10,1.0,5,5,0,25,11,5.0,2.2,37.5,93.8,37.5,100.0,34.8,34.0,53.2,West,0
4,Edmonton Oilers,20212022,6,5,1,--,0,10,0.833,4,4,1,26,18,4.33,3.0,42.9,89.5,42.9,94.7,34.2,37.0,54.2,West,0
5,Minnesota Wild,20212022,6,5,1,--,0,10,0.833,3,5,0,20,18,3.33,3.0,18.2,69.2,18.2,69.2,36.3,27.8,49.4,West,0
6,New York Rangers,20212022,7,4,2,--,1,9,0.643,3,4,0,15,18,2.14,2.57,11.5,78.3,7.7,78.3,27.0,31.4,45.7,East,0
7,Buffalo Sabres,20212022,6,4,1,--,1,9,0.75,3,3,1,18,11,3.0,1.83,27.8,87.5,27.8,87.5,33.0,31.2,48.0,East,0
8,Detroit Red Wings,20212022,7,4,2,--,1,9,0.643,3,4,0,23,23,3.29,3.29,14.8,72.4,14.8,72.4,30.6,32.6,50.7,East,0
9,Calgary Flames,20212022,6,4,1,--,1,9,0.75,3,4,0,21,15,3.5,2.5,29.4,79.0,23.5,84.2,35.3,29.5,49.6,West,0
10,San Jose Sharks,20212022,6,4,2,--,0,8,0.667,4,4,0,20,14,3.33,2.33,25.0,85.7,20.0,92.9,27.7,28.0,52.6,West,0
11,Columbus Blue Jackets,20212022,6,4,2,--,0,8,0.667,2,4,0,19,15,3.17,2.5,26.3,81.0,26.3,81.0,26.7,34.0,50.6,East,0
12,Pittsburgh Penguins,20212022,6,3,1,--,2,8,0.667,3,3,0,24,16,4.0,2.67,19.1,93.3,19.1,93.3,33.0,29.3,49.6,East,0
13,New York Islanders,20212022,6,3,2,--,1,7,0.583,3,3,0,15,15,2.5,2.5,12.5,81.3,12.5,81.3,28.8,35.0,50.9,East,0
14,Philadelphia Flyers,20212022,5,3,1,--,1,7,0.7,3,3,0,23,15,4.6,3.0,30.8,80.0,23.1,85.0,30.0,34.2,58.7,East,0
15,Toronto Maple Leafs,20212022,8,3,4,--,1,7,0.43799999999999994,2,3,0,16,25,2.0,3.13,12.0,85.2,12.0,85.2,34.4,30.1,55.9,East,0
16,Tampa Bay Lightning,20212022,7,3,3,--,1,7,0.5,1,3,0,21,26,3.0,3.71,13.6,83.3,13.6,83.3,32.9,29.6,52.5,East,0
17,Vancouver Canucks,20212022,7,3,3,--,1,7,0.5,2,2,1,19,20,2.71,2.86,23.1,77.8,23.1,77.8,32.4,32.0,48.1,West,0
18,Dallas Stars,20212022,7,3,3,--,1,7,0.5,0,2,1,13,18,1.86,2.57,16.7,85.7,16.7,85.7,29.4,31.4,55.1,West,0
19,Winnipeg Jets,20212022,6,3,2,--,1,7,0.583,3,3,0,24,22,4.0,3.67,25.0,60.0,20.0,64.0,28.0,33.5,49.9,West,0
20,New Jersey Devils,20212022,5,3,2,--,0,6,0.6,1,3,0,14,15,2.8,3.0,23.1,66.7,23.1,66.7,31.4,27.4,50.5,East,0
21,Boston Bruins,20212022,5,3,2,--,0,6,0.6,3,3,0,15,15,3.0,3.0,18.2,86.7,18.2,86.7,34.2,28.4,54.7,East,0
22,Nashville Predators,20212022,7,3,4,--,0,6,0.429,3,3,0,20,20,2.86,2.86,31.8,82.6,31.8,82.6,30.7,29.6,51.2,West,0
23,Vegas Golden Knights,20212022,7,3,4,--,0,6,0.429,2,3,0,16,22,2.29,3.14,0.0,81.3,0.0,87.5,32.7,33.7,45.2,West,0
24,Anaheim Ducks,20212022,7,2,4,--,1,5,0.35700000000000004,1,2,0,20,24,2.86,3.43,28.6,84.6,28.6,84.6,30.3,35.0,48.1,West,0
25,Seattle Kraken,20212022,7,2,4,--,1,5,0.35700000000000004,2,2,0,18,24,2.57,3.43,14.3,87.5,14.3,87.5,26.7,27.9,46.7,West,0
26,Ottawa Senators,20212022,6,2,4,--,0,4,0.33299999999999996,2,2,0,15,19,2.5,3.17,26.3,77.8,26.3,77.8,30.0,32.0,50.0,East,0
27,Colorado Avalanche,20212022,6,2,4,--,0,4,0.33299999999999996,1,1,1,15,23,2.5,3.83,9.1,84.2,4.6,89.5,30.0,33.5,47.9,West,0
28,Los Angeles Kings,20212022,6,1,4,--,1,3,0.25,1,1,0,14,20,2.33,3.33,19.1,58.8,14.3,58.8,36.3,30.7,46.9,West,0
29,Montréal Canadiens,20212022,7,1,6,--,0,2,0.14300000000000002,1,1,0,11,25,1.57,3.57,8.0,64.0,8.0,64.0,27.4,28.7,45.9,East,0
30,Chicago Blackhawks,20212022,7,0,5,--,2,2,0.14300000000000002,0,0,0,14,30,2.0,4.29,26.9,92.0,26.9,92.0,30.7,31.7,49.0,West,0
31,Arizona Coyotes,20212022,6,0,5,--,1,1,0.083,0,0,0,11,29,1.83,4.83,12.5,35.7,6.3,35.7,26.7,31.3,45.3,West,0
