Team,goalie_performance,PIM,Forward,Defense,star_player,Season,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,predict
Anaheim Ducks,0.027389690721649484,0.16553326810176128,0.37234566590461765,0.24204779380594213,0.0,20212022,3.1,3.4,25.8,81.3,25.8,81.3,31.3,33.4,51.8,0
Arizona Coyotes,0.014669193450576105,0.14679861670695674,0.4010246383704746,0.2649764454704853,1.0,20212022,1.44,4.22,8.0,58.6,4.0,58.6,24.9,31.9,46.5,0
Boston Bruins,0.031142159522517636,0.17849525354482101,0.5508845438520215,0.3507103632485877,3.0,20212022,2.43,2.86,15.8,81.0,15.8,81.0,33.9,28.7,54.3,2
Buffalo Sabres,0.0392120765832106,0.13074037834311808,0.291725396135256,0.18163424692664182,2.0,20212022,3.0,2.13,27.3,87.0,27.3,91.3,31.4,32.3,45.8,1
Carolina Hurricanes,0.04293883161512027,0.1748525494672755,0.6922185824251857,0.4099983654967121,3.0,20212022,4.13,1.5,28.1,88.9,28.1,88.9,34.1,28.9,55.3,1
Columbus Blue Jackets,0.033584388807069224,0.1351394324853229,0.3753851115590348,0.22436547559929704,1.0,20212022,2.75,2.75,25.0,77.8,25.0,77.8,27.1,35.0,52.3,0
Calgary Flames,0.04186265380778184,0.17519148622772132,0.5708655928305559,0.34437980563294845,1.0,20212022,3.63,1.88,29.2,84.6,25.0,88.5,35.4,30.3,49.3,1
Chicago Blackhawks,0.019405211912943872,0.1274931823947235,0.4218937091931058,0.2788598060063184,0.0,20212022,1.89,4.11,25.0,87.1,25.0,87.1,29.6,32.7,48.0,0
Colorado Avalanche,0.028721370855391472,0.17422173886214987,0.679291566988102,0.48674931677765876,5.0,20212022,2.88,3.38,12.9,81.8,9.7,86.4,31.6,31.1,47.6,2
Dallas Stars,0.04144145802650957,0.16760946673189828,0.6401409995648774,0.3991303392980294,1.0,20212022,1.75,2.75,20.0,83.3,20.0,83.3,30.6,30.5,55.5,0
Detroit Red Wings,0.02978288034989066,0.1493271758682718,0.4804635266251769,0.21758593295931725,0.0,20212022,3.22,3.44,15.2,73.5,15.2,73.5,30.6,33.2,50.4,0
Edmonton Oilers,0.0388618556701031,0.17097602739726028,0.6078354281889566,0.3979531974175337,4.0,20212022,4.0,2.71,47.8,90.0,47.8,95.0,34.1,36.0,53.6,1
Florida Panthers,0.039670397643593515,0.20757501630789302,0.662853507529325,0.46263963559665017,6.0,20212022,4.0,1.89,20.0,86.1,16.7,88.9,33.9,31.4,45.4,1
Los Angeles Kings,0.03074317768344451,0.15147394574268064,0.44451300571000507,0.2119976844560745,0.0,20212022,2.67,3.0,23.5,69.2,17.7,69.2,35.8,29.7,51.2,0
Minnesota Wild,0.023247422680412366,0.18452183679481515,0.6610639684204351,0.38376730875580434,0.0,20212022,2.75,3.25,19.2,73.5,19.2,73.5,34.9,29.5,50.3,0
Montreal Canadiens,0.028316262055204527,0.1789107379584622,0.5312211055155126,0.3811964901496648,1.0,20212022,1.9,3.4,11.1,65.0,11.1,65.0,27.0,31.0,43.8,0
New Jersey Devils,0.04440824742268041,0.12023809523809523,0.4028727995250051,0.23092309988861714,0.0,20212022,3.0,2.86,16.7,72.0,16.7,76.0,33.7,28.3,49.3,0
Nashville Predators,0.03470186681526888,0.17787779217573738,0.48654803041094924,0.3340558146037597,1.0,20212022,2.75,2.75,26.9,77.8,26.9,77.8,29.8,30.4,51.7,2
New York Islanders,0.02206078919303235,0.153784837033538,0.6873556851323702,0.37425518812517333,1.0,20212022,2.43,2.43,20.0,85.0,20.0,85.0,29.9,33.3,50.0,2
New York Rangers,0.03589400773195876,0.20525203339041098,0.6477856558515896,0.39584240640939383,2.0,20212022,2.44,2.11,16.1,83.3,12.9,83.3,27.1,31.4,45.1,1
Ottawa Senators,0.04102216494845361,0.16667380136986304,0.4179878002613407,0.24937266500622662,1.0,20212022,2.71,2.86,27.3,75.0,27.3,75.0,29.1,33.0,48.8,0
Philadelphia Flyers,0.03535552282768777,0.14585371819960863,0.42507278393004905,0.29017459368427717,0.0,20212022,3.57,2.86,23.8,80.0,19.1,83.3,28.3,33.6,56.1,1
Pittsburgh Penguins,0.027967859308671926,0.13707863282299226,0.6918957233814296,0.41158775312572304,2.0,20212022,3.25,3.0,13.3,94.7,10.0,94.7,34.8,31.4,50.0,1
Seattle Kraken,0.5504226804123712,0.0,0.0,0.0,0.0,20212022,2.56,3.11,10.3,90.0,10.3,90.0,28.6,27.1,47.6,0
San Jose Sharks,0.0341340206185567,0.14824815595363544,0.3647668682014815,0.17178311274456037,1.0,20212022,2.75,2.38,22.2,83.3,18.5,88.9,30.9,29.4,50.9,1
St. Louis Blues,0.05003930412371134,0.1612086187214612,0.5501837499474046,0.34589945111703496,3.0,20212022,4.14,2.14,35.0,91.3,35.0,95.7,32.7,33.9,53.4,1
Tampa Bay Lightning,0.034968041237113404,0.23902682648401824,0.6883548159082797,0.43785979252819124,1.0,20212022,3.25,3.38,15.4,85.2,15.4,85.2,32.3,29.0,51.0,1
Toronto Maple Leafs,0.03400458190148911,0.14243245814307456,0.6688968141078289,0.3256249582249425,3.0,20212022,2.33,3.22,14.8,82.8,14.8,82.8,34.8,30.2,56.6,0
Vancouver Canucks,0.03366592365561438,0.17016845612736026,0.37690613706597104,0.2684143859250142,0.0,20212022,2.33,2.67,18.8,72.0,18.8,72.0,31.7,31.8,49.0,0
Vegas Golden Knights,0.037881075110456554,0.16029129973907374,0.8509637705714834,0.5453910598927132,6.0,20212022,2.5,3.25,0.0,84.2,0.0,89.5,33.9,34.3,45.9,0
Winnipeg Jets,0.03926022040526129,0.17119843331758783,0.6281733263738122,0.30625529365239107,0.0,20212022,3.5,3.25,25.0,63.3,20.8,66.7,29.3,33.6,50.0,0
Washington Capitals,0.039052211506484864,0.20659798939460897,0.6935323130729036,0.3795294138902714,1.0,20212022,3.75,2.38,19.4,77.3,12.9,86.4,30.4,25.8,46.9,1
