Team,Season,PIM,Forward,Defense,goalie_performance,star_player,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,Conference,Playoff
Boston Bruins,19921993,0.10373281175912755,0.5273772037587827,0.3020797128045579,0.05605097402597403,4.0,1,1,1,3.95,3.19,20.9,83.1,19.1,87.7,34.4,26.1,50.2,East,1
Buffalo Sabres,19921993,0.14163900742848112,0.5820165919508027,0.28188517159621385,0.058857383357383365,3.0,14,14,14,3.99,3.54,20.3,83.5,16.7,86.5,31.8,31.9,50.2,East,1
Calgary Flames,19921993,0.15440787979487666,0.5973817431278732,0.3415033316481141,0.04261370002546473,3.0,8,8,8,3.83,3.36,19.0,83.1,17.0,86.2,31.4,29.5,50.2,West,1
Chicago Blackhawks,19921993,0.18298642358792738,0.4866118428750008,0.3371934312066997,0.03392665429808287,5.0,2,2,2,3.32,2.74,18.4,83.5,16.5,86.3,32.2,27.3,50.2,West,1
Detroit Red Wings,19921993,0.16192487771435138,0.6941435276076423,0.35835440884976494,0.032296471205562116,3.0,4,4,4,4.39,3.33,24.9,81.2,22.7,85.5,32.9,28.9,50.2,East,1
Edmonton Oilers,19921993,0.1739534213218424,0.39855594792436894,0.22215227628540318,0.02297735597735598,0.0,19,19,19,2.88,4.01,15.9,77.2,13.5,80.8,27.9,33.8,50.2,West,0
Hartford Whalers,19921993,0.16997405859425774,0.41287482452062824,0.14272004637999114,0.0747837837837838,1.0,20,20,20,3.38,4.39,17.6,78.3,14.4,80.7,26.1,34.1,50.2,East,0
Los Angeles Kings,19921993,0.15634174427499203,0.47747895882812447,0.29760829711973713,0.031216344630978776,4.0,10,10,10,4.02,4.05,20.1,78.5,17.0,81.5,34.0,34.4,50.2,West,2
Minnesota North Stars,19921993,0.15432161484793064,0.45440021391008234,0.18036912291749752,0.03151839826839827,0.0,17,17,17,3.24,3.49,19.1,82.2,15.3,84.2,31.8,29.6,50.2,West,2
Montréal Canadiens,19921993,0.147215216100665,0.5779892249412372,0.35124244480782457,0.05430761395467278,2.0,5,5,5,3.88,3.33,18.4,82.0,15.4,83.8,31.8,30.0,50.2,East,1
New Jersey Devils,19921993,0.134805858490069,0.5364693928378138,0.23323579466510325,0.027720298220298218,1.0,11,11,11,3.67,3.56,19.3,81.4,14.5,83.3,33.0,29.8,50.2,East,2
New York Islanders,19921993,0.14337024994919734,0.6107616707616708,0.3264268869672313,0.04668682359307359,1.0,12,12,12,3.99,3.54,21.6,79.5,19.7,82.7,31.0,29.4,50.2,East,2
New York Rangers,19921993,0.16964416153605347,0.5278792026217346,0.25395797383078783,0.04020299520299521,0.0,18,18,18,3.62,3.67,18.3,81.2,14.1,83.9,33.3,33.7,50.2,East,2
Ottawa Senators,19921993,0.12119227382385275,0.15318881782039676,0.011104044912094446,0.021667443667443675,0.0,23,23,23,2.4,4.7,14.7,75.0,12.3,76.5,27.2,31.8,50.2,East,0
Philadelphia Flyers,19921993,0.15657785162429128,0.5309583894336218,0.37080054002518037,0.04037267634326458,3.0,16,16,16,3.8,3.8,18.1,77.4,15.3,81.0,29.8,31.8,50.2,East,0
Pittsburgh Penguins,19921993,0.17570674122398264,0.7347293254316848,0.4147793653878847,0.03765905359008808,7.0,0,0,0,4.37,3.19,23.9,83.2,19.6,87.9,32.4,30.7,50.2,East,1
Quebec Nordiques,19921993,0.16448915080494028,0.6349208098050202,0.3438373225060531,0.04852207792207793,2.0,3,3,3,4.18,3.57,21.8,80.6,18.3,85.4,30.0,30.3,50.2,East,1
San Jose Sharks,19921993,0.12416749865262453,0.196992268219957,0.030219673822446738,0.028670148691887828,0.0,22,22,22,2.6,4.93,16.1,76.6,12.5,79.3,28.4,36.7,50.2,West,0
St. Louis Blues,19921993,0.16105250842092952,0.4608897431576857,0.24571630688151935,0.032423455332546244,3.0,15,15,15,3.36,3.31,21.9,83.7,18.4,87.0,29.0,33.8,50.2,West,1
Tampa Bay Lightning,19921993,0.1088830799357115,0.2942470874528291,0.16282728057777313,0.02425314836678473,0.0,21,21,21,2.92,3.95,17.5,74.4,14.6,76.5,30.2,30.4,50.2,East,0
Toronto Maple Leafs,19921993,0.15686000422842528,0.5564127006519352,0.25940776832699153,0.059040535222353405,2.0,7,7,7,3.43,2.87,21.0,82.4,18.7,85.0,30.4,29.0,50.2,East,1
Vancouver Canucks,19921993,0.21195420984894667,0.8314653950601317,0.431120033426535,0.03578730158730159,2.0,6,6,6,4.12,3.31,17.3,78.5,14.9,82.5,31.7,29.4,50.2,West,1
Winnipeg Jets (1979),19921993,0.14330848458272277,0.45880880187666884,0.2314541682624622,0.04645716564137616,1.0,13,13,13,3.83,3.81,20.9,81.7,18.0,82.4,30.7,32.7,50.2,West,2
Washington Capitals,19921993,0.14011051379472433,0.5166737476928864,0.3427759307916921,0.047074642529187985,3.0,9,9,9,3.87,3.4,21.8,82.9,20.0,85.2,32.2,28.4,50.2,East,1
Anaheim Ducks,19931994,0.13693735857956765,0.5148044102737531,0.22585039437303087,0.07850591676384562,0.0,19,19,19,2.73,2.99,14.4,82.7,10.9,85.1,28.6,31.1,50.2,West,0
Boston Bruins,19931994,0.1413635161285831,0.6005973657709726,0.35190914701409187,0.07172989564149786,3.0,5,5,5,3.44,3.0,21.7,84.7,19.4,89.2,35.5,25.2,50.2,East,1
Buffalo Sabres,19931994,0.17540459095402083,0.7138160311061246,0.29211774864869433,0.05401365950699718,1.0,9,9,9,3.36,2.6,22.6,84.7,20.8,90.3,28.2,29.3,50.2,East,1
Calgary Flames,19931994,0.1471746886951749,0.626430167650894,0.32057294569752454,0.10121167030348052,5.0,6,6,6,3.6,3.05,21.2,80.7,19.0,84.1,31.4,27.5,50.2,West,1
Chicago Blackhawks,19931994,0.22757283196715,0.654591602678289,0.37219531367938774,0.04639366208827236,2.0,12,12,12,3.02,2.86,17.5,83.4,14.9,86.9,30.3,29.3,50.2,West,2
Dallas Stars,19931994,0.18762213766467292,0.6217985296631776,0.26529538677609543,0.04663127106032876,1.0,7,7,7,3.4,3.15,18.4,84.1,14.8,86.0,30.5,30.8,50.2,West,1
Detroit Red Wings,19931994,0.16290802925466505,0.7948887764215639,0.388779062675752,0.11888236196872855,7.0,3,3,3,4.24,3.27,20.8,80.9,17.4,86.7,35.6,27.4,50.2,East,1
Edmonton Oilers,19931994,0.16993581655656992,0.48325523576944696,0.245700155033676,0.06153288086402491,1.0,22,22,22,3.11,3.63,18.4,80.6,16.2,81.1,30.3,34.4,50.2,West,0
Florida Panthers,19931994,0.1678855703348083,0.5746748523642163,0.24866841984992405,0.06839499626544425,2.0,15,15,15,2.77,2.77,15.9,82.6,12.2,84.6,27.3,33.4,50.2,East,0
Hartford Whalers,19931994,0.18018511557541753,0.48936391551214103,0.24817849363973415,0.09550190541532759,1.0,23,23,23,2.7,3.43,15.0,78.9,12.8,80.8,27.6,30.8,50.2,East,0
Los Angeles Kings,19931994,0.19342814183686258,0.5380616057835336,0.2734344764272442,0.08085323005813744,1.0,21,21,21,3.5,3.83,20.7,80.5,18.9,84.6,33.0,36.3,50.2,West,0
Montréal Canadiens,19931994,0.13270227375602645,0.6069225421023486,0.2955760997175645,0.11600411949160731,3.0,8,8,8,3.37,2.95,20.1,82.6,17.5,84.6,31.2,30.2,50.2,East,1
New Jersey Devils,19931994,0.18997201687340767,1.0167263893594518,0.4214171870673457,0.09536655601467106,4.0,1,1,1,3.64,2.62,18.3,81.1,15.9,83.8,31.6,29.0,50.2,East,1
New York Islanders,19931994,0.1548323650248287,0.6117309256307021,0.2515949438793122,0.06873742652047733,2.0,14,14,14,3.36,3.14,20.1,81.1,17.6,84.7,29.9,30.5,50.2,East,1
New York Rangers,19931994,0.17211508118819235,0.768512987993256,0.3410842805441307,0.048824095138362285,4.0,0,0,0,3.56,2.75,23.0,84.6,21.8,89.2,34.2,27.7,50.2,East,1
Ottawa Senators,19931994,0.12771205707758823,0.241244387105684,0.03212813022068288,0.03198355729512559,0.0,25,25,25,2.39,4.73,14.5,73.3,11.3,75.5,25.6,33.0,50.2,East,0
Philadelphia Flyers,19931994,0.1629647439696306,0.5874838563827306,0.2414145805482117,0.06862898517627149,1.0,17,17,17,3.5,3.74,20.8,80.7,17.1,82.9,28.7,31.7,50.2,East,2
Pittsburgh Penguins,19931994,0.16608645984664028,0.671638879531685,0.3166225705913508,0.09557560745666044,3.0,2,2,2,3.56,3.39,18.8,82.0,16.1,83.5,32.5,31.9,50.2,East,1
Quebec Nordiques,19931994,0.14263627130695566,0.5671610283883892,0.22412117519163127,0.0849186410583638,0.0,18,18,18,3.3,3.48,15.6,79.6,11.4,81.9,28.6,30.6,50.2,East,0
San Jose Sharks,19931994,0.13531674764602966,0.6148113962325358,0.21077131974127125,0.047314610190300796,1.0,16,16,16,3.0,3.15,16.0,78.6,13.0,80.3,25.0,28.4,50.2,West,2
St. Louis Blues,19931994,0.1527729234124027,0.5612812048486624,0.24507338721988622,0.0460021095963829,2.0,10,10,10,3.21,3.37,20.5,81.2,17.1,85.6,30.6,35.1,50.2,West,1
Tampa Bay Lightning,19931994,0.18020460631035742,0.44996174867496336,0.2634661374004659,0.09702099507697493,0.0,20,20,20,2.67,2.99,14.7,82.7,9.5,84.8,29.8,27.3,50.2,East,0
Toronto Maple Leafs,19931994,0.17353902484211967,0.720661447096729,0.23458685329469167,0.045619356738303765,3.0,4,4,4,3.33,2.89,19.2,81.9,17.2,83.9,30.1,30.4,50.2,East,1
Vancouver Canucks,19931994,0.1968335949841658,0.7002309484606565,0.296414227293267,0.050667182830233165,1.0,13,13,13,3.32,3.29,18.8,81.7,16.3,84.7,31.3,27.2,50.2,West,1
Winnipeg Jets (1979),19931994,0.18255111843008093,0.4478393815942886,0.15881191788910737,0.08056969528142749,0.0,24,24,24,2.92,4.1,19.4,79.6,15.4,82.5,29.4,33.3,50.2,West,0
Washington Capitals,19931994,0.21034360541471175,0.6696535537475904,0.4042254353151942,0.09456903670000842,2.0,11,11,11,3.3,3.13,18.1,81.6,15.0,83.6,31.0,25.9,50.2,East,2
Anaheim Ducks,19941995,0.11268817204301075,0.4227464188711539,0.23016259077809154,0.016905393926523682,0.0,23,23,23,2.6,3.42,11.4,75.7,7.4,77.7,28.0,33.0,50.2,West,0
Boston Bruins,19941995,0.12677534975141633,0.579609210177307,0.2540819252432156,0.033590543845347626,2.0,5,5,5,3.13,2.65,21.8,86.9,19.9,88.5,34.4,24.3,50.2,East,1
Buffalo Sabres,19941995,0.1565417029933159,0.5067383113663949,0.2586846083109114,0.022624060883988682,1.0,10,10,10,2.71,2.48,18.6,85.5,15.7,91.4,26.6,30.4,50.2,East,1
Calgary Flames,19941995,0.16909345222484484,0.6349027938476729,0.24455377939963385,0.05152091221273224,4.0,6,6,6,3.4,2.81,18.5,85.1,17.1,88.0,30.2,29.3,50.2,West,1
Chicago Blackhawks,19941995,0.18450526773107412,0.7178621700879765,0.31847269965473657,0.04312624439339242,5.0,7,7,7,3.25,2.4,24.5,84.2,23.1,87.3,30.1,24.9,50.2,West,1
